userId;state;action_reward;n_state
309;326&5|300&3|334&4|1025&5|690&3|1296&2|306&2|242&4|258&5|304&3|331&5|938&4;333&3|324&3|319&4|286&4;326&5|300&3|334&4|1025&5|690&3|1296&2|306&2|242&4|258&5|304&3|331&5|938&4|333&3|324&3|319&4|286&4
681;539&4|310&3|1105&3|750&5|894&1|258&1|690&4|682&1|288&1|304&3|1176&4|990&4;292&4|328&3|289&5|294&5;539&4|310&3|1105&3|750&5|894&1|258&1|690&4|682&1|288&1|304&3|1176&4|990&4|292&4|328&3|289&5|294&5
757;64&5|449&3|241&3|471&4|1188&3|29&2|470&3|252&3|195&4|684&4|678&2|433&4;145&3|58&3|143&3|638&3;64&5|449&3|241&3|471&4|1188&3|29&2|470&3|252&3|195&4|684&4|678&2|433&4|145&3|58&3|143&3|638&3
596;288&4|323&4|13&2|149&3|682&4|678&3|289&3|328&5|258&3|295&4|313&5|300&4;276&3|123&2|222&3|181&4;288&4|323&4|13&2|149&3|682&4|678&3|289&3|328&5|258&3|295&4|313&5|300&4|276&3|123&2|222&3|181&4
651;327&4|294&1|306&5|276&4|292&2|286&4|268&2|683&3|302&5|332&3|116&2|127&4;322&3|995&1|690&3|309&1;327&4|294&1|306&5|276&4|292&2|286&4|268&2|683&3|302&5|332&3|116&2|127&4|322&3|995&1|690&3|309&1
771;15&5|462&3|134&4|652&4|83&5|144&1|197&1|242&4|86&5|154&2|137&4|71&5;243&3|164&2|251&5|98&1;15&5|462&3|134&4|652&4|83&5|144&1|197&1|242&4|86&5|154&2|137&4|71&5|243&3|164&2|251&5|98&1
785;22&4|301&4|496&4|886&3|137&2|269&5|748&3|995&3|168&4|288&3|50&5|661&3;273&3|318&4|1050&3|152&4;22&4|301&4|496&4|886&3|137&2|269&5|748&3|995&3|168&4|288&3|50&5|661&3|273&3|318&4|1050&3|152&4
198;100&1|97&3|201&3|1244&2|1094&1|181&4|298&1|682&3|204&3|248&3|549&3|108&3;655&4|128&3|942&4|501&4;100&1|97&3|201&3|1244&2|1094&1|181&4|298&1|682&3|204&3|248&3|549&3|108&3|655&4|128&3|942&4|501&4
437;197&5|482&5|249&5|663&5|98&5|511&5|237&4|196&4|88&3|739&3|730&3|318&4;179&4|1075&4|1007&5|969&4;197&5|482&5|249&5|663&5|98&5|511&5|237&4|196&4|88&3|739&3|730&3|318&4|179&4|1075&4|1007&5|969&4
672;756&2|301&4|280&2|109&4|874&4|127&4|15&3|815&4|931&1|50&3|124&3|255&2;476&5|1023&2|1061&4|225&2;756&2|301&4|280&2|109&4|874&4|127&4|15&3|815&4|931&1|50&3|124&3|255&2|476&5|1023&2|1061&4|225&2
492;124&4|462&3|205&4|199&3|479&3|193&4|1098&4|285&4|478&2|521&5|650&2|134&3;527&5|127&5|187&5|318&5;124&4|462&3|205&4|199&3|479&3|193&4|1098&4|285&4|478&2|521&5|650&2|134&3|527&5|127&5|187&5|318&5
740;332&3|258&3|294&4|319&3|328&3|300&4|340&4|748&3|271&2|269&4|326&3|288&4;1038&4|242&4|289&4|302&5;332&3|258&3|294&4|319&3|328&3|300&4|340&4|748&3|271&2|269&4|326&3|288&4|1038&4|242&4|289&4|302&5
604;183&3|234&5|558&4|164&4|98&2|56&2|288&3|100&5|413&3|200&1|441&2|444&2;447&4|567&5|443&3|184&3;183&3|234&5|558&4|164&4|98&2|56&2|288&3|100&5|413&3|200&1|441&2|444&2|447&4|567&5|443&3|184&3
856;879&3|312&2|313&5|307&4|272&5|300&4|258&4|286&4|315&5|326&2|294&4|310&3;323&2|322&4|688&2|678&3;879&3|312&2|313&5|307&4|272&5|300&4|258&4|286&4|315&5|326&2|294&4|310&3|323&2|322&4|688&2|678&3
27;50&3|246&4|244&3|596&2|118&3|281&3|475&2|515&4|742&3|100&5|288&3|123&5;370&4|978&2|930&2|286&3;50&3|246&4|244&3|596&2|118&3|281&3|475&2|515&4|742&3|100&5|288&3|123&5|370&4|978&2|930&2|286&3
401;724&4|210&4|591&3|499&3|194&4|44&4|172&3|64&3|435&5|357&4|282&3|151&1;582&4|473&1|161&2|462&4;724&4|210&4|591&3|499&3|194&4|44&4|172&3|64&3|435&5|357&4|282&3|151&1|582&4|473&1|161&2|462&4
761;293&4|9&2|243&3|476&2|151&2|275&4|678&2|426&1|235&3|508&1|1287&1|127&3;458&1|1152&2|1277&1|125&4;293&4|9&2|243&3|476&2|151&2|275&4|678&2|426&1|235&3|508&1|1287&1|127&3|458&1|1152&2|1277&1|125&4
410;347&1|898&3|300&3|886&2|269&5|352&3|258&2|689&2|313&5|882&3|312&2|328&3;690&4|905&4|315&4|873&4;347&1|898&3|300&3|886&2|269&5|352&3|258&2|689&2|313&5|882&3|312&2|328&3|690&4|905&4|315&4|873&4
799;1063&4|286&5|127&4|499&4|479&5|306&4|331&4|321&4|307&3|319&4|289&3|654&5;50&4|484&3|191&3|427&5;1063&4|286&5|127&4|499&4|479&5|306&4|331&4|321&4|307&3|319&4|289&3|654&5|50&4|484&3|191&3|427&5
898;316&5|272&4|270&4|302&4|358&4|271&3|347&3|327&5|313&4|539&3|328&2|751&3;683&3|689&3|334&3|1296&4;316&5|272&4|270&4|302&4|358&4|271&3|347&3|327&5|313&4|539&3|328&2|751&3|683&3|689&3|334&3|1296&4
182;203&3|423&5|864&4|181&5|123&4|178&5|191&4|845&3|293&3|121&3|69&5|172&5;283&2|111&4|126&5|222&3;203&3|423&5|864&4|181&5|123&4|178&5|191&4|845&3|293&3|121&3|69&5|172&5|283&2|111&4|126&5|222&3
800;121&4|1047&3|125&3|15&4|742&4|476&3|751&4|597&4|118&3|457&2|289&4|223&5;300&4|864&4|25&4|257&4;121&4|1047&3|125&3|15&4|742&4|476&3|751&4|597&4|118&3|457&2|289&4|223&5|300&4|864&4|25&4|257&4
584;230&4|172&4|541&3|40&4|423&4|222&4|313&5|108&3|431&3|228&5|109&4|114&4;82&3|25&3|450&2|165&1;230&4|172&4|541&3|40&4|423&4|222&4|313&5|108&3|431&3|228&5|109&4|114&4|82&3|25&3|450&2|165&1
421;474&4|175&2|89&5|124&4|509&2|657&4|144&5|194&4|653&3|11&2|174&5|50&5;87&4|448&3|7&3|234&5;474&4|175&2|89&5|124&4|509&2|657&4|144&5|194&4|653&3|11&2|174&5|50&5|87&4|448&3|7&3|234&5
428;310&4|242&4|289&4|323&3|749&4|269&5|243&4|750&5|988&1|322&4|538&4|879&4;1313&4|875&4|305&3|326&3;310&4|242&4|289&4|323&3|749&4|269&5|243&4|750&5|988&1|322&4|538&4|879&4|1313&4|875&4|305&3|326&3
851;1047&3|820&3|1132&3|248&4|340&5|619&4|833&3|975&2|981&1|112&1|974&2|1276&2;527&5|310&5|347&5|264&2;1047&3|820&3|1132&3|248&4|340&5|619&4|833&3|975&2|981&1|112&1|974&2|1276&2|527&5|310&5|347&5|264&2
804;603&5|71&4|984&4|135&3|176&4|511&4|200&3|981&3|2&4|625&3|254&4|174&5;141&3|1178&3|133&3|212&3;603&5|71&4|984&4|135&3|176&4|511&4|200&3|981&3|2&4|625&3|254&4|174&5|141&3|1178&3|133&3|212&3
426;435&3|136&4|519&4|428&2|488&5|608&4|527&3|98&4|432&3|653&4|211&4|848&4;490&4|633&4|526&4|1451&4;435&3|136&4|519&4|428&2|488&5|608&4|527&3|98&4|432&3|653&4|211&4|848&4|490&4|633&4|526&4|1451&4
536;191&4|486&4|405&2|121&4|283&3|52&3|474&5|596&3|740&4|80&2|148&4|215&4;94&4|755&4|720&4|631&2;191&4|486&4|405&2|121&4|283&3|52&3|474&5|596&3|740&4|80&2|148&4|215&4|94&4|755&4|720&4|631&2
367;5&4|324&5|1012&4|760&4|246&4|334&4|100&5|185&5|561&4|268&4|774&4|184&5;564&2|769&3|53&4|443&4;5&4|324&5|1012&4|760&4|246&4|334&4|100&5|185&5|561&4|268&4|774&4|184&5|564&2|769&3|53&4|443&4
239;185&4|489&5|190&1|659&3|509&5|511&5|855&5|305&4|171&5|492&3|96&5|499&5;1192&1|1020&3|272&5|116&5;185&4|489&5|190&1|659&3|509&5|511&5|855&5|305&4|171&5|492&3|96&5|499&5|1192&1|1020&3|272&5|116&5
766;675&3|209&3|526&2|71&3|494&3|178&4|98&3|192&4|584&3|191&4|499&3|433&3;712&3|559&4|577&3|393&3;675&3|209&3|526&2|71&3|494&3|178&4|98&3|192&4|584&3|191&4|499&3|433&3|712&3|559&4|577&3|393&3
44;118&3|249&4|507&3|208&4|120&4|318&5|148&4|95&4|200&4|153&4|240&4|274&4;216&1|228&5|871&3|412&1;118&3|249&4|507&3|208&4|120&4|318&5|148&4|95&4|200&4|153&4|240&4|274&4|216&1|228&5|871&3|412&1
268;1231&2|179&4|381&3|466&3|479&4|719&1|233&3|67&3|940&2|42&4|231&4|949&2;358&3|114&5|99&3|421&3;1231&2|179&4|381&3|466&3|479&4|719&1|233&3|67&3|940&2|42&4|231&4|949&2|358&3|114&5|99&3|421&3
634;245&3|475&5|15&4|740&2|405&4|410&4|596&3|14&3|823&3|1009&2|763&3|741&3;248&4|293&3|315&5|340&4;245&3|475&5|15&4|740&2|405&4|410&4|596&3|14&3|823&3|1009&2|763&3|741&3|248&4|293&3|315&5|340&4
339;522&5|76&3|298&2|174&4|181&4|498&4|135&5|257&4|1110&4|347&4|183&4|346&5;29&3|719&3|82&4|240&4;522&5|76&3|298&2|174&4|181&4|498&4|135&5|257&4|1110&4|347&4|183&4|346&5|29&3|719&3|82&4|240&4
746;79&5|24&4|568&4|597&4|184&4|96&4|117&4|144&5|226&4|265&4|403&4|230&1;8&4|208&4|202&5|168&3;79&5|24&4|568&4|597&4|184&4|96&4|117&4|144&5|226&4|265&4|403&4|230&1|8&4|208&4|202&5|168&3
869;1047&2|1134&1|596&3|1079&2|411&4|846&2|1382&3|181&3|122&3|118&1|315&3|237&4;515&5|253&4|269&4|310&4;1047&2|1134&1|596&3|1079&2|411&4|846&2|1382&3|181&3|122&3|118&1|315&3|237&4|515&5|253&4|269&4|310&4
726;1028&2|248&2|1014&1|535&3|819&3|845&3|310&4|294&5|1059&5|255&2|257&3|25&4;833&5|409&3|117&1|832&5;1028&2|248&2|1014&1|535&3|819&3|845&3|310&4|294&5|1059&5|255&2|257&3|25&4|833&5|409&3|117&1|832&5
151;10&5|631&3|190&4|181&5|605&4|154&4|194&4|699&4|736&4|230&3|709&5|481&3;476&3|290&1|451&5|826&1;10&5|631&3|190&4|181&5|605&4|154&4|194&4|699&4|736&4|230&3|709&5|481&3|476&3|290&1|451&5|826&1
156;83&3|480&5|157&4|9&4|137&4|100&4|528&4|180&5|86&4|12&3|124&3|515&3;77&2|772&3|646&4|11&2;83&3|480&5|157&4|9&4|137&4|100&4|528&4|180&5|86&4|12&3|124&3|515&3|77&2|772&3|646&4|11&2
203;475&3|181&5|150&5|748&2|1&3|237&3|151&4|619&3|304&3|283&5|100&1|148&3;628&4|815&4|282&1|993&3;475&3|181&5|150&5|748&2|1&3|237&3|151&4|619&3|304&3|283&5|100&1|148&3|628&4|815&4|282&1|993&3
724;887&3|538&2|880&3|302&3|748&1|344&1|272&5|245&2|347&4|678&2|1434&1|269&4;909&1|264&3|988&1|908&1;887&3|538&2|880&3|302&3|748&1|344&1|272&5|245&2|347&4|678&2|1434&1|269&4|909&1|264&3|988&1|908&1
238;926&3|471&4|298&5|125&3|257&4|405&4|118&3|1190&3|294&3|151&2|538&4|300&4;476&3|255&3|252&3|458&4;926&3|471&4|298&5|125&3|257&4|405&4|118&3|1190&3|294&3|151&2|538&4|300&4|476&3|255&3|252&3|458&4
58;174&4|9&4|109&4|150&4|640&5|194&3|7&5|20&1|209&5|684&4|652&5|64&5;1089&1|354&3|1105&2|121&2;174&4|9&4|109&4|150&4|640&5|194&3|7&5|20&1|209&5|684&4|652&5|64&5|1089&1|354&3|1105&2|121&2
601;141&4|455&4|191&4|87&4|186&4|1047&1|472&1|325&4|276&4|91&5|96&2|39&1;133&4|921&5|131&4|365&3;141&4|455&4|191&4|87&4|186&4|1047&1|472&1|325&4|276&4|91&5|96&2|39&1|133&4|921&5|131&4|365&3
180;196&5|153&1|421&5|785&4|367&1|235&4|318&5|202&3|67&1|380&5|222&5|56&5;431&4|631&5|98&5|1131&5;196&5|153&1|421&5|785&4|367&1|235&4|318&5|202&3|67&1|380&5|222&5|56&5|431&4|631&5|98&5|1131&5
917;50&3|248&4|278&3|696&5|405&3|751&2|763&3|879&2|3&1|121&1|1014&2|100&4;276&5|535&4|9&5|740&5;50&3|248&4|278&3|696&5|405&3|751&2|763&3|879&2|3&1|121&1|1014&2|100&4|276&5|535&4|9&5|740&5
628;242&5|301&4|1025&5|938&5|330&5|690&5|340&5|305&5|332&5|302&5|300&5|288&5;8&2|173&3|294&4|168&4;242&5|301&4|1025&5|938&5|330&5|690&5|340&5|305&5|332&5|302&5|300&5|288&5|8&2|173&3|294&4|168&4
34;991&4|292&5|288&2|690&4|1024&5|310&4|242&5|294&1|259&2|990&5|286&5|332&5;289&1|299&5|899&5|245&4;991&4|292&5|288&2|690&4|1024&5|310&4|242&5|294&1|259&2|990&5|286&5|332&5|289&1|299&5|899&5|245&4
102;1240&2|684&2|667&3|264&2|227&4|1076&2|625&3|685&3|550&2|176&3|448&3|260&2;94&2|269&2|88&3|732&3;1240&2|684&2|667&3|264&2|227&4|1076&2|625&3|685&3|550&2|176&3|448&3|260&2|94&2|269&2|88&3|732&3
614;100&5|25&1|294&4|508&4|147&5|476&3|235&5|410&3|117&3|472&3|458&4|1&5;756&4|841&2|405&2|411&3;100&5|25&1|294&4|508&4|147&5|476&3|235&5|410&3|117&3|472&3|458&4|1&5|756&4|841&2|405&2|411&3
120;245&3|286&5|50&4|121&4|515&5|9&4|742&4|405&4|252&3|282&4|924&4|1&4;257&2|117&3|118&2|827&2;245&3|286&5|50&4|121&4|515&5|9&4|742&4|405&4|252&3|282&4|924&4|1&4|257&2|117&3|118&2|827&2
432;298&3|3&3|222&4|24&1|181&5|248&4|815&3|871&2|1047&5|100&3|411&3|123&3;108&3|405&4|827&3|255&5;298&3|3&3|222&4|24&1|181&5|248&4|815&3|871&2|1047&5|100&3|411&3|123&3|108&3|405&4|827&3|255&5
260;319&2|1243&5|682&4|891&5|313&5|334&5|270&5|258&3|881&4|326&5|288&3|300&3;882&5|362&5|1105&5|1025&5;319&2|1243&5|682&4|891&5|313&5|334&5|270&5|258&3|881&4|326&5|288&3|300&3|882&5|362&5|1105&5|1025&5
513;181&5|258&4|405&3|546&4|222&5|841&4|323&5|685&4|118&4|472&4|250&3|127&4;739&5|265&5|435&5|252&5;181&5|258&4|405&3|546&4|222&5|841&4|323&5|685&4|118&4|472&4|250&3|127&4|739&5|265&5|435&5|252&5
840;127&4|414&4|173&5|671&3|79&4|511&4|238&5|135&5|484&5|99&5|272&4|23&5;616&5|1639&4|143&4|82&3;127&4|414&4|173&5|671&3|79&4|511&4|238&5|135&5|484&5|99&5|272&4|23&5|616&5|1639&4|143&4|82&3
275;186&3|418&3|473&3|230&3|625&2|1219&2|173&3|946&3|588&3|181&4|393&3|501&3;416&3|431&3|226&3|451&3;186&3|418&3|473&3|230&3|625&2|1219&2|173&3|946&3|588&3|181&4|393&3|501&3|416&3|431&3|226&3|451&3
756;50&4|53&3|135&2|225&1|3&1|117&4|88&1|256&4|930&3|95&3|92&3|89&4;251&4|55&5|181&4|178&5;50&4|53&3|135&2|225&1|3&1|117&4|88&1|256&4|930&3|95&3|92&3|89&4|251&4|55&5|181&4|178&5
427;319&3|1265&5|300&4|990&5|681&5|682&5|304&4|938&5|263&5|258&4|359&5|322&3;937&5|680&5|874&5|334&5;319&3|1265&5|300&4|990&5|681&5|682&5|304&4|938&5|263&5|258&4|359&5|322&3|937&5|680&5|874&5|334&5
219;882&3|347&1|303&4|631&5|13&1|568&1|664&5|936&4|38&1|71&1|258&5|82&1;906&4|879&4|179&5|855&5;882&3|347&1|303&4|631&5|13&1|568&1|664&5|936&4|38&1|71&1|258&5|82&1|906&4|879&4|179&5|855&5
923;544&4|129&5|689&3|763&4|280&3|1028&4|293&4|742&4|249&4|340&5|151&4|294&4;823&4|105&4|928&4|460&4;544&4|129&5|689&3|763&4|280&3|1028&4|293&4|742&4|249&4|340&5|151&4|294&4|823&4|105&4|928&4|460&4
500;9&4|514&5|245&2|235&5|996&1|483&4|1047&3|1226&4|371&4|172&2|1326&4|742&3;768&2|83&4|43&3|249&3;9&4|514&5|245&2|235&5|996&1|483&4|1047&3|1226&4|371&4|172&2|1326&4|742&3|768&2|83&4|43&3|249&3
51;136&4|184&3|692&3|50&5|203&4|496&4|603&3|173&5|655&3|181&5|182&3|148&3;144&5|679&3|172&5|83&5;136&4|184&3|692&3|50&5|203&4|496&4|603&3|173&5|655&3|181&5|182&3|148&3|144&5|679&3|172&5|83&5
545;204&4|211&3|549&4|176&4|62&5|202&4|234&3|575&3|568&3|229&3|588&4|569&3;434&3|386&2|520&4|474&3;204&4|211&3|549&4|176&4|62&5|202&4|234&3|575&3|568&3|229&3|588&4|569&3|434&3|386&2|520&4|474&3
142;514&5|134&5|362&3|189&4|338&2|181&5|147&1|315&3|333&5|169&5|186&4|322&2;463&3|55&2|425&4|7&4;514&5|134&5|362&3|189&4|338&2|181&5|147&1|315&3|333&5|169&5|186&4|322&2|463&3|55&2|425&4|7&4
370;98&4|265&5|257&5|193&4|175&3|435&3|514&4|613&2|390&1|294&1|183&4|657&3;209&5|57&5|107&4|172&4;98&4|265&5|257&5|193&4|175&3|435&3|514&4|613&2|390&1|294&1|183&4|657&3|209&5|57&5|107&4|172&4
325;234&3|510&4|526&3|50&5|93&4|154&3|640&3|199&5|100&4|480&4|185&5|408&5;383&1|82&3|1487&3|1230&3;234&3|510&4|526&3|50&5|93&4|154&3|640&3|199&5|100&4|480&4|185&5|408&5|383&1|82&3|1487&3|1230&3
652;275&4|307&4|245&4|328&4|282&4|333&4|300&4|301&1|259&2|288&2|984&2|748&3;699&5|257&2|96&4|125&2;275&4|307&4|245&4|328&4|282&4|333&4|300&4|301&1|259&2|288&2|984&2|748&3|699&5|257&2|96&4|125&2
837;237&3|328&4|222&3|13&4|284&1|472&3|596&3|740&5|294&4|289&5|181&3|763&1;762&2|1047&1|1049&1|278&3;237&3|328&4|222&3|13&4|284&1|472&3|596&3|740&5|294&4|289&5|181&3|763&1|762&2|1047&1|1049&1|278&3
248;55&4|89&5|484&2|324&4|174&3|153&3|7&2|79&3|283&1|183&5|50&5|168&4;1&3|249&4|121&2|250&3;55&4|89&5|484&2|324&4|174&3|153&3|7&2|79&3|283&1|183&5|50&5|168&4|1&3|249&4|121&2|250&3
424;508&3|690&3|172&3|427&4|969&1|323&5|689&1|681&3|258&2|100&5|333&5|288&1;1084&5|14&4|740&5|151&2;508&3|690&3|172&3|427&4|969&1|323&5|689&1|681&3|258&2|100&5|333&5|288&1|1084&5|14&4|740&5|151&2
798;172&4|1337&3|1003&3|191&4|728&4|940&1|845&5|110&4|50&5|1540&4|15&4|174&4;402&3|821&5|690&4|142&3;172&4|1337&3|1003&3|191&4|728&4|940&1|845&5|110&4|50&5|1540&4|15&4|174&4|402&3|821&5|690&4|142&3
50;9&4|319&5|268&4|286&2|324&5|125&2|288&4|508&5|547&4|124&1|15&2|246&3;253&5|544&4|123&4|823&3;9&4|319&5|268&4|286&2|324&5|125&2|288&4|508&5|547&4|124&1|15&2|246&3|253&5|544&4|123&4|823&3
527;99&3|466&2|286&2|631&4|175&3|275&3|855&2|628&3|28&3|152&2|208&4|474&3;56&4|183&5|868&4|1149&4;99&3|466&2|286&2|631&4|175&3|275&3|855&2|628&3|28&3|152&2|208&4|474&3|56&4|183&5|868&4|1149&4
498;183&4|61&4|479&3|1070&3|887&3|594&2|134&3|56&3|675&4|83&3|607&3|135&5;164&3|447&3|1422&3|54&2;183&4|61&4|479&3|1070&3|887&3|594&2|134&3|56&3|675&4|83&3|607&3|135&5|164&3|447&3|1422&3|54&2
589;286&3|877&4|327&3|259&5|326&1|682&4|339&5|294&5|690&4|258&2|324&1|322&3;271&3|879&4|243&3|678&4;286&3|877&4|327&3|259&5|326&1|682&4|339&5|294&5|690&4|258&2|324&1|322&3|271&3|879&4|243&3|678&4
57;321&4|225&3|168&3|15&4|930&2|1093&3|411&4|121&4|820&3|405&4|1011&3|249&5;304&5|763&5|496&4|56&3;321&4|225&3|168&3|15&4|930&2|1093&3|411&4|121&4|820&3|405&4|1011&3|249&5|304&5|763&5|496&4|56&3
12;392&4|282&5|157&5|195&4|215&4|591&5|200&1|300&4|71&4|132&5|196&5|174&5;88&5|97&5|204&5|216&5;392&4|282&5|157&5|195&4|215&4|591&5|200&1|300&4|71&4|132&5|196&5|174&5|88&5|97&5|204&5|216&5
209;1137&4|906&2|127&5|293&4|249&2|1086&4|813&5|304&2|50&5|129&2|349&2|14&3;271&2|688&1|242&4|1105&2;1137&4|906&2|127&5|293&4|249&2|1086&4|813&5|304&2|50&5|129&2|349&2|14&3|271&2|688&1|242&4|1105&2
298;91&2|435&5|200&3|286&4|183&3|474&4|603&5|430&5|203&3|71&5|660&3|282&4;197&4|151&3|432&4|473&3;91&2|435&5|200&3|286&4|183&3|474&4|603&5|430&5|203&3|71&5|660&3|282&4|197&4|151&3|432&4|473&3
610;313&4|98&5|11&4|127&5|283&3|477&2|210&3|483&5|9&3|378&5|419&5|162&5;183&4|705&3|66&3|402&5;313&4|98&5|11&4|127&5|283&3|477&2|210&3|483&5|9&3|378&5|419&5|162&5|183&4|705&3|66&3|402&5
895;294&4|885&2|284&3|275&5|301&4|181&5|50&5|222&3|283&4|1&4|988&3|748&3;151&5|742&4|1014&3|597&2;294&4|885&2|284&3|275&5|301&4|181&5|50&5|222&3|283&4|1&4|988&3|748&3|151&5|742&4|1014&3|597&2
47;874&3|322&2|258&4|286&3|262&5|304&3|292&4|307&4|321&4|306&4|305&5|683&3;301&4|1022&3|327&4|323&2;874&3|322&2|258&4|286&3|262&5|304&3|292&4|307&4|321&4|306&4|305&5|683&3|301&4|1022&3|327&4|323&2
206;882&1|683&1|895&5|750&3|310&5|690&2|336&1|245&1|1431&1|323&1|990&1|900&1;904&1|361&1|1395&1|1432&1;882&1|683&1|895&5|750&3|310&5|690&2|336&1|245&1|1431&1|323&1|990&1|900&1|904&1|361&1|1395&1|1432&1
73;1149&4|475&4|173&5|156&4|196&4|56&4|1073&4|382&4|28&3|474&5|514&4|89&5;288&3|285&4|180&4|202&2;1149&4|475&4|173&5|156&4|196&4|56&4|1073&4|382&4|28&3|474&5|514&4|89&5|288&3|285&4|180&4|202&2
194;1091&3|177&3|417&2|470&3|732&3|471&3|26&3|174&4|13&4|15&4|9&4|117&3;502&4|155&3|159&3|971&3;1091&3|177&3|417&2|470&3|732&3|471&3|26&3|174&4|13&4|15&4|9&4|117&3|502&4|155&3|159&3|971&3
824;286&2|319&2|243&1|292&3|289&2|294&3|268&4|322&4|304&3|323&2|687&2|325&4;991&3|989&2|245&2|678&3;286&2|319&2|243&1|292&3|289&2|294&3|268&4|322&4|304&3|323&2|687&2|325&4|991&3|989&2|245&2|678&3
808;288&3|748&4|312&3|751&3|271&3|332&4|262&5|327&5|294&5|875&4|286&4|750&5;872&5|313&5|302&5|346&5;288&3|748&4|312&3|751&3|271&3|332&4|262&5|327&5|294&5|875&4|286&4|750&5|872&5|313&5|302&5|346&5
375;176&4|770&3|300&4|233&4|773&3|77&4|1073&2|185&5|443&4|288&4|234&5|39&3;1217&4|356&4|44&3|761&3;176&4|770&3|300&4|233&4|773&3|77&4|1073&2|185&5|443&4|288&4|234&5|39&3|1217&4|356&4|44&3|761&3
210;420&4|50&5|514&5|121&4|692&4|188&3|202&5|204&5|257&5|152&5|465&4|657&4;302&5|953&3|722&4|105&3;420&4|50&5|514&5|121&4|692&4|188&3|202&5|204&5|257&5|152&5|465&4|657&4|302&5|953&3|722&4|105&3
295;423&4|380&4|42&3|97&5|648&4|1503&2|404&4|951&5|470&3|403&4|237&4|997&3;73&4|736&5|53&1|631&5;423&4|380&4|42&3|97&5|648&4|1503&2|404&4|951&5|470&3|403&4|237&4|997&3|73&4|736&5|53&1|631&5
572;286&4|14&4|1010&2|121&2|222&2|124&5|319&4|301&4|476&4|289&3|1171&3|1137&3;13&4|277&1|284&3|924&1;286&4|14&4|1010&2|121&2|222&2|124&5|319&4|301&4|476&4|289&3|1171&3|1137&3|13&4|277&1|284&3|924&1
166;328&5|300&5|984&5|687&1|258&4|346&1|323&5|748&2|294&3|347&5|286&1|751&4;343&4|894&4|243&3|688&3;328&5|300&5|984&5|687&1|258&4|346&1|323&5|748&2|294&3|347&5|286&1|751&4|343&4|894&4|243&3|688&3
862;147&5|177&4|173&5|135&5|168&4|845&4|498&4|969&5|491&3|201&3|1093&5|866&4;141&4|416&3|640&3|186&3;147&5|177&4|173&5|135&5|168&4|845&4|498&4|969&5|491&3|201&3|1093&5|866&4|141&4|416&3|640&3|186&3
119;25&5|298&4|930&3|276&2|275&5|86&4|762&4|237&5|100&5|826&4|259&4|595&3;354&5|1263&3|1170&3|1262&3;25&5|298&4|930&3|276&2|275&5|86&4|762&4|237&5|100&5|826&4|259&4|595&3|354&5|1263&3|1170&3|1262&3
243;22&3|77&3|1&4|25&3|125&3|1197&4|116&4|813&4|631&4|137&3|286&4|732&4;306&4|8&5|285&5|367&3;22&3|77&3|1&4|25&3|125&3|1197&4|116&4|813&4|631&4|137&3|286&4|732&4|306&4|8&5|285&5|367&3
853;271&3|340&1|292&4|873&3|877&2|300&5|880&5|334&3|690&2|358&1|327&3|258&3;887&2|261&3|264&3|1025&4;271&3|340&1|292&4|873&3|877&2|300&5|880&5|334&3|690&2|358&1|327&3|258&3|887&2|261&3|264&3|1025&4
116;181&4|1256&1|872&3|185&3|1216&3|203&5|678&3|479&4|840&1|806&4|346&4|246&5;350&3|916&2|1020&3|902&2;181&4|1256&1|872&3|185&3|1216&3|203&5|678&3|479&4|840&1|806&4|346&4|246&5|350&3|916&2|1020&3|902&2
861;242&5|529&5|289&5|937&4|305&4|10&3|740&4|463&3|52&5|70&4|14&4|116&4;737&3|714&4|1009&5|1227&4;242&5|529&5|289&5|937&4|305&4|10&3|740&4|463&3|52&5|70&4|14&4|116&4|737&3|714&4|1009&5|1227&4
78;257&4|25&3|880&5|298&3|255&4|294&3|269&3|1160&5|301&5|327&1|289&4|813&2;411&4|237&5|1047&1|871&3;257&4|25&3|880&5|298&3|255&4|294&3|269&3|1160&5|301&5|327&1|289&4|813&2|411&4|237&5|1047&1|871&3
874;100&4|276&4|285&4|116&4|14&4|306&4|137&4|127&5|286&4|289&4|302&5|340&3;521&5|357&5|654&5|191&4;100&4|276&4|285&4|116&4|14&4|306&4|137&4|127&5|286&4|289&4|302&5|340&3|521&5|357&5|654&5|191&4
195;1415&1|100&5|831&2|366&3|1417&3|809&3|386&2|47&5|186&3|109&3|433&3|198&3;14&4|55&4|558&3|841&2;1415&1|100&5|831&2|366&3|1417&3|809&3|386&2|47&5|186&3|109&3|433&3|198&3|14&4|55&4|558&3|841&2
591;285&5|732&3|110&2|100&5|191&5|792&4|523&4|508&4|182&3|8&3|655&4|710&3;25&4|934&3|237&3|856&4;285&5|732&3|110&2|100&5|191&5|792&4|523&4|508&4|182&3|8&3|655&4|710&3|25&4|934&3|237&3|856&4
443;333&5|269&3|358&1|340&5|258&5|343&5|687&3|948&1|271&4|260&1|678&2|327&4;39&1|644&3|748&4|175&2;333&5|269&3|358&1|340&5|258&5|343&5|687&3|948&1|271&4|260&1|678&2|327&4|39&1|644&3|748&4|175&2
