item_id;vectors
175;-0.0678761|0.32783797|0.34496543|0.47333127|-0.83260965|-0.31242037|-0.34391272|0.96052647|-0.6208159|-0.15664965|0.7581966|-0.4185589|0.6679219|-0.085819215|0.48459855|-0.44802845|0.302521|0.26040632|0.79631186|-0.18617827|0.22392537|0.6428523|-0.38700867|-0.37701625|-0.2853159|-0.44147548|-0.18675974|0.9096821|0.45914257|0.013254225|-0.77394545|0.11307725|0.41832784|-0.27206004|-0.31854606|1.2028127|-0.87076795|-0.10330556|-1.0241919|-0.05898112|-0.7931878|0.15009895|-0.97740436|-0.5344901|0.15996532|-0.28750193|-0.9252524|0.55609006|0.6067255|-0.048393205|0.9779738|-0.40414393|-0.2573517|0.15371835|-0.42286533|0.7276103|-0.5994333|-0.9092448|-0.62331414|-0.3688903|0.21184713|0.057747394|-0.22861567|-0.12574303|0.04164108|0.43623126|-0.37162516|-0.31955066|0.46350452|0.3885492|0.08680272|0.5352301|-0.2428396|-0.09062836|-0.14869097|0.5510855|0.13888237|-0.44589305|0.50557697|-0.23803765|-0.03518509|-0.4393489|-0.18927354|0.08525806|-0.043497413|-0.6212773|0.42187658|0.40658844|1.1544154|-0.30841222|-0.38697466|0.58174485|-0.08635667|-0.2936529|-0.447755|-0.23970687|-0.44979995|0.7210166|0.05472143|-0.48559603
176;1.1210027|-0.34820044|0.5558969|0.09421994|-0.2521322|0.51179147|-0.46075618|0.41283262|0.24127313|-0.7778924|1.0159037|-0.9697499|0.0138500035|-0.2536835|0.49193525|-0.6294163|0.5567939|0.7242948|0.24231283|-0.5438425|0.09389611|0.2015239|-0.72137266|0.18923448|0.15730491|-0.030260742|-0.066173896|0.9055101|-0.1009403|-0.9304297|-0.02462387|-0.32764104|0.16829602|0.073539056|-0.65711963|0.75012803|-1.0003918|-0.10136329|-0.4375874|-0.3233937|-0.033706926|0.33033106|0.13562068|-0.34236035|-0.6074815|-0.4386094|-0.1719372|-0.113389365|0.12311809|0.31341088|0.5428821|-0.26897576|-0.17204477|-0.33290508|-0.55545294|0.20451494|-0.25652823|-0.047243983|-0.3857696|-0.10904437|0.18755782|-0.045084253|0.6617402|0.3259442|0.051596828|-0.21579908|-0.17392984|-0.0910587|0.041093|0.06196022|-0.190159|-0.10034762|-0.37064803|-0.014153292|-0.8903421|0.72758234|-0.0040741265|-0.31280577|0.13800168|0.086467996|-0.28111526|-0.26779896|-0.26543012|-0.020527001|-0.28806216|-0.11440663|0.30690324|-0.3514271|0.35090712|0.39407113|0.35004097|0.2864002|-0.29775488|0.35032856|-0.11890415|-0.22890055|0.25562084|0.646547|-0.24215235|-0.19776851
177;0.543138|-0.41587144|0.34445316|0.3854782|-0.89352787|0.13437706|-0.40273666|0.5904815|0.2135162|-0.29208115|0.6195868|-0.27356815|0.13363273|-0.10131815|0.666392|-0.92361313|0.48631048|0.7560534|-0.004654199|-0.5438582|-0.16889817|0.15651233|-0.29700246|-0.23111323|-0.57271945|-0.84374|-0.33361757|0.6875296|0.67938656|-0.63684064|-0.4390111|0.40630746|0.9432462|0.30336803|0.024888128|0.31498405|-0.25476527|0.035631984|-0.7340176|-0.14432892|0.2353516|-0.27644023|-0.75298226|-0.83210933|-0.43472248|-0.71490836|-0.1642935|0.5085567|0.22901976|0.13806076|0.38606277|-0.25158757|-0.23725596|0.1389819|0.18280175|0.03814736|-0.043989122|-0.3851356|0.3363516|-0.7821617|-0.44145525|0.68189913|0.25297883|-0.085009955|-0.22792116|0.08131495|-0.72050506|-0.3385401|-0.041883834|0.25958362|-0.05071783|0.58078146|-0.21558392|0.34900945|-0.07151699|-0.30224204|0.16187176|-0.71988404|0.8280777|0.27790654|-0.31821716|-0.19726986|-0.40614352|0.20272416|0.27582034|-0.13450375|0.3988988|-0.06570586|0.6913637|0.313743|-0.10470235|0.59528255|0.075003564|0.40079314|-0.14429793|-0.1773864|-1.3640807|1.1605937|0.099620104|-0.77854526
178;1.2527254|-0.50087255|0.85729575|0.535147|-0.25141224|0.4650328|-0.71502376|0.99738157|-0.14408532|-0.2482268|0.1992735|-0.47563592|-0.30868167|0.16208175|0.6167251|-0.6316487|-0.5357736|0.53306234|0.81709605|-0.7566485|0.46760467|-0.24913985|-0.27475083|0.16472037|0.10137862|-0.59733266|-0.85434604|0.600475|0.60365456|-0.18468198|-0.5900744|-0.18695001|0.20551725|0.2880547|-0.30079448|0.42419103|-0.609801|0.18686754|-0.47379804|-0.44268444|-0.13895889|-0.36540973|-0.40972042|-0.3563481|-0.15408942|0.17748797|-0.11055571|-1.1549082|0.03936988|0.7657782|0.12329742|-0.71534294|-0.43893367|0.05619636|0.20919266|-0.011408493|-0.37357816|-0.1609281|-0.40109923|-0.4312093|0.20469508|0.5147147|0.41232142|-0.06048314|-0.19566005|0.628492|-0.26385808|0.47771105|-0.21917772|0.4770813|-0.2037317|0.899591|-0.7574146|0.74080455|0.16303888|0.25255495|-0.64506775|-0.61936533|-0.5237832|-0.17388469|-0.24023023|0.576971|-0.025451273|0.107121326|0.16754785|0.37394968|0.16053106|-0.21333623|0.2527355|0.4627338|-0.17619652|0.13701068|-0.42807585|-0.013887465|-0.5389984|-0.1356073|-0.020727336|-0.069573164|0.36238235|-0.034582406
179;0.69099736|-0.064718455|0.1654585|-0.104287684|-0.25986174|0.03387624|-0.5822878|0.50916135|-0.14551155|0.31491178|0.44329923|0.45031872|0.12488593|-0.66982615|0.53879434|-0.77107227|-0.25921237|-0.11100456|0.16363418|-0.41992667|-0.15170714|0.39876127|-0.38408604|-0.021488905|-0.31349203|-0.4489862|0.31314045|0.1923942|0.42146087|-0.84176433|-0.34635174|0.40605688|0.52840424|0.51267093|-1.1753683|0.22843435|-0.049250156|0.40519404|0.37917686|0.02657479|-0.09590082|0.07549626|-0.38201663|-0.5906706|0.3291388|-0.3965764|-0.28901538|0.20547497|0.5627506|0.08855824|-0.011766911|0.12595055|-0.55391824|0.39509004|-0.5207432|-0.3363784|-0.4102104|-0.31506962|-0.08222271|-0.6727436|-0.17613406|0.21020111|0.30644703|0.8179887|-0.30236974|0.67177886|-0.6092413|-0.20810941|0.1574594|0.23829561|0.07318926|0.4857977|0.22247481|0.09934206|-0.38343716|-0.36357003|-0.21361229|-0.69603413|0.13373193|0.153336|0.1969666|0.040717237|-0.342768|-0.8059385|-0.7915243|-0.64058894|0.087124035|0.24537045|0.54411143|-0.37770757|-0.34360668|-0.078727394|-0.15514052|0.7571642|0.12472063|-0.03959684|-0.09066939|0.91064036|-0.20358308|0.21732786
180;-0.0104032755|-0.6096064|0.14944422|0.5854026|-0.6881976|0.9098542|0.32032794|0.9798225|0.5201206|-0.13574082|-0.17750013|-0.40226364|-0.23915967|0.09873429|0.61560327|-0.47691673|-0.11059834|1.0421159|-0.45565736|0.47624314|-0.685013|-0.75339186|-0.5173328|0.08317383|-0.6861686|-0.5907064|0.46499777|1.0335504|-0.117663324|-1.1731523|-1.0165502|-1.272295|0.82287407|-0.7124211|-0.12614977|-0.23290151|0.43179074|-0.29769564|-0.097458005|-0.7320531|-0.24750796|-0.49890304|-0.55324095|-0.84648675|0.49104306|-0.14567414|-0.73742807|0.42656314|0.61996955|-0.71444833|0.32077476|-0.14108293|-1.093486|-0.49746397|0.17867506|-0.19538823|-0.8557421|-0.6593921|-0.13251749|-0.77964807|-0.5828552|0.04127553|0.27350813|-0.5233591|0.21181719|-0.09315704|-0.6534387|-0.9685889|-0.041105345|-0.67345613|-0.3867084|0.27021337|-1.0189891|-1.1162882|-1.0359142|0.30873019|-0.5249887|-0.62792766|0.19175762|-0.16334394|-0.41910094|0.21129605|-0.9274014|-0.28234658|-0.29624352|-0.15463768|0.050051987|-0.8444465|0.094333395|0.728644|-0.76783806|0.060044825|-0.29303086|0.25541264|-0.26158288|-0.75059736|-0.6358862|0.5409328|0.13524777|-1.1048135
181;0.12512425|-0.33988076|0.42744797|0.5758374|-0.3258137|0.7058355|-0.27485394|0.31463867|-0.844792|-0.33698598|1.0180752|-0.9062983|0.53562915|-0.2922019|0.75478214|-0.75790334|-0.44055462|-0.12830889|0.1998685|-0.83638847|0.2141331|0.096590266|-0.6100793|0.01917094|0.17426932|-0.4514915|-0.341147|0.09973395|-0.5677319|-0.49713725|0.02486369|0.70957124|0.08026382|0.681079|0.10351291|0.16428207|-0.9848517|0.5981111|-0.29606467|0.07622421|-0.20435934|-0.14453676|-0.5608864|-0.15736476|0.11186133|-0.87152874|0.1764043|-0.4760283|0.07041383|0.11490379|0.49674252|-0.39103782|-0.0528059|-0.6158928|-0.81822604|0.8303813|-0.123357296|-0.8924949|-0.14083761|-0.5206682|0.04538022|0.63329643|0.682528|-0.20311487|0.2718826|-0.21349613|-0.21292436|0.41071692|-0.37693918|0.23453782|-0.39144152|-0.63116413|-0.042748928|0.26765904|-0.42452145|0.12663993|-0.4702911|0.057329297|0.6676301|-0.52357864|0.28816664|-0.78466153|-0.7847755|0.22149661|-0.15151939|0.24904704|0.042250335|-0.02215033|0.32242143|0.3267423|0.026834548|0.6119031|-0.71303487|0.7389911|0.21254444|-0.025770172|-0.47858608|0.14521712|0.21498688|-0.23938
182;0.88987184|-1.3223395|0.3288754|0.011468738|0.10924062|0.2840071|-0.50418377|1.1146171|0.20270705|-0.70623136|0.48389402|0.15140536|0.48606902|-0.43716228|0.37141588|-0.78501135|-0.5549866|0.6559879|0.28932875|-0.24230559|-0.1290039|0.4739981|-1.0006047|-0.080560684|0.12441003|-0.68082416|-0.35293695|0.57919157|-0.39996117|-0.98708296|-0.7022731|0.29310417|0.51915395|0.25268382|-0.20807987|-0.3038354|-0.24915504|-0.011865959|0.01146844|-0.42544279|-0.17167766|-0.62387764|-0.19983944|-0.5237041|0.5215559|-0.878698|-0.08135864|-0.3421528|0.6685648|0.62473047|0.0022087991|-0.7856326|-0.3833907|-0.4510231|-0.828348|-0.057893395|0.065001935|-0.24445634|-0.12981215|-0.09688774|-0.47467446|0.27963665|0.8428519|-0.39216295|-0.34821758|0.8850273|-0.65172154|0.8233061|-0.19355424|-0.46555126|-0.8297235|-0.40139616|-0.6917002|-0.47027367|-0.30354303|0.13746263|-0.01317966|-0.5765218|0.37539977|-0.20941252|0.31871688|-0.038754325|-0.79359794|0.16567254|-0.12146148|0.085289724|-0.36653706|-0.23689544|-0.31256092|-0.07900655|-0.6923593|0.7955307|-0.328775|1.0516975|-0.0023483932|-0.11686877|0.2383831|0.10864818|0.13355657|-0.2315318
183;-0.07494724|0.1051881|0.23190805|-0.15674216|-0.16369855|-0.19443715|-0.039516598|0.9409411|0.16295019|-0.7775156|0.6963602|-0.22941545|0.48460823|0.087991625|0.74645054|-0.45870954|-0.24069712|-0.07191113|-0.05896589|-0.9766224|0.5819592|-0.17048976|-0.42818627|-0.10282823|-0.67247915|-0.58512366|0.05603519|0.8172182|-0.04234685|-0.12838992|-0.5719271|0.6723248|-0.047628075|0.03390712|-0.33833283|0.5723343|-0.47486544|0.18557614|-0.57960683|-0.5467213|0.0027190149|-0.60978276|-0.6634848|-0.45138696|-0.11694214|0.03603685|-0.5490554|0.33512527|0.4253906|-0.08885835|0.46279067|-0.48833793|-0.5170059|-0.24369371|-0.77768576|0.0053530037|-0.16212288|-0.8025949|0.07663673|-0.7873801|0.18982854|0.028069988|0.6693552|0.14255333|-0.1936229|-0.29998213|-0.63175905|-0.16879037|0.4617392|0.20006515|-0.06834343|-0.17124103|0.18722391|-0.078576714|-0.24745376|0.16550423|-0.47578567|-0.4532209|-0.37364468|-0.083557606|-0.063966244|0.03104937|-0.3922297|-0.39116323|-0.50841784|-0.28912544|-0.078178346|0.03984373|0.27892476|-0.055894703|-0.03462693|0.12222266|-0.2808765|0.6797281|-0.36318487|0.009833835|-0.50603205|0.9496939|0.110291794|-0.5559973
184;0.41756964|-0.27807227|0.7166506|0.11345832|-0.6612381|0.8751799|-1.1805193|0.98140097|0.0076967254|-0.48348677|0.115706116|-0.56629646|-0.016873017|-0.26223353|0.41259325|-0.36397368|-0.0696623|0.17382886|0.48291802|-0.7847837|-0.38268498|-0.56474984|0.10704231|-0.23563716|-0.22448024|-0.51705813|-0.34373558|0.47734863|-0.22469904|-0.82876587|-0.23594174|-0.29564747|0.5236712|0.2294865|-0.86473954|0.36255786|-1.1304109|-0.13001029|-0.17201725|-0.63533574|-0.13248836|-0.010520428|-0.66682154|-0.6446732|0.28459117|-0.08212972|-0.63018215|0.024028746|0.71436304|-0.24178897|0.064537674|-0.47274134|-0.8465953|-0.25714853|-0.4129852|-0.4409293|-0.71460134|-0.1845465|0.09042142|-0.74452436|-0.04828702|-0.2271549|0.079842955|0.078156196|-0.40764993|0.5408147|0.1576184|-0.23465872|-0.37508258|0.46091533|-0.7798263|0.631657|-0.531317|-0.028521284|-0.35925335|-0.23419757|0.1964635|-0.32043687|0.68806314|-0.33390862|0.19627464|0.16865402|-0.20160964|0.35462|-0.6874672|-0.20827392|0.025034219|0.11293982|0.6724472|0.44752303|0.36912143|0.06406325|-0.6528026|-0.22270949|-0.30599576|-0.12065452|-0.34367144|0.37977946|0.48391747|-0.76835215
185;0.5025819|-0.13961485|-0.1392856|0.15023458|-0.6733935|0.044834644|-0.12096062|0.15421742|-0.2541049|-0.7032341|0.27968284|-0.90101767|0.4047828|-0.17960875|0.6991871|-0.7749255|-0.047649294|-0.01394552|0.53042656|-0.9192338|-0.054524984|0.23429409|-0.5748158|0.08288957|0.0672597|-0.058462054|-0.6688811|1.2289634|0.44759893|-0.0032095015|-0.46757454|-0.6104084|0.08638698|-0.17666295|-0.5511928|0.80977505|0.29414037|0.117528155|-0.4597809|-0.32091793|-0.07431894|-0.4447314|0.30883822|-0.5193195|-0.041846205|-0.2154684|-0.71669906|0.8080799|0.60662466|0.24010898|0.49005315|-0.7542699|-0.0060020983|-0.6589905|0.012696862|-0.117960274|-0.015309513|-0.29494822|-0.45976135|-0.38182697|-0.7992563|0.5938268|0.48113886|0.12494219|-0.32046527|0.30242628|-0.4874078|0.19823861|0.29739425|0.42111486|-0.14036423|0.10556884|-0.32480517|0.33516005|-0.6835815|0.16166298|-0.5216386|-0.6337316|0.3085158|0.10671465|-0.047291733|-0.33463338|-0.6020372|0.08761733|-1.1952395|0.35054776|0.40409052|-0.24002993|0.07258187|-0.14060947|0.18444657|-0.03597799|-0.23165433|0.22928509|-0.31860504|-0.3161971|0.015345499|1.30247|0.40840963|-0.22647353
186;0.76081467|-0.5480779|0.20667419|0.41795903|0.2770879|0.16929503|-0.04515508|1.0804582|-0.42828524|-0.8801626|0.53827125|-0.7657584|0.2721822|-0.4676079|0.5721272|-1.106679|-0.25263146|0.08853158|0.47680515|-0.771653|-0.03004853|0.82680184|-0.5503936|0.32906485|0.1903077|-0.055422187|-0.18339692|0.40284392|0.049732182|-0.21402162|0.46908072|-0.23254593|0.36866614|0.38444096|0.11313328|0.07375391|-0.6892301|0.65197855|-1.0789714|-0.39230135|-0.80226374|-0.092298165|-0.7585225|-0.6402884|0.19627827|-0.24926308|-0.7557831|0.14254469|0.48472816|0.6357022|0.82074267|0.030582398|-0.5539448|0.32368118|-0.09764971|0.6724068|-0.5389221|-0.6850047|-0.23162264|0.43307635|-0.15831625|0.29149726|0.43219033|0.30523804|0.53238654|0.30286336|-0.7390976|0.25233865|0.07051721|0.28242642|-0.5675322|-0.19156478|0.054938525|0.29605013|-0.49310362|-0.36269045|-0.9935669|-0.29907927|0.19541734|-0.28104347|0.17706251|-0.32059616|-0.4556931|0.4278321|-0.24122868|0.48348397|0.7393061|0.3194032|0.7131227|1.1447016|-0.6476296|-0.019801587|-0.63391125|0.030673698|-0.24747083|-0.70115525|-0.31474736|0.705244|-0.03306812|-0.0030463338
187;0.5776465|-1.0228761|0.30913353|0.38098294|-0.7394232|0.34425598|-0.3322286|0.43878233|0.110008806|-0.92087084|0.704617|-0.74241686|-0.03609006|-0.52343035|0.65896827|-0.7417249|0.17832454|-0.13597655|0.8668997|-0.3737802|-0.47418523|0.010016158|-0.44172105|-0.9798601|-0.5437709|-0.20302954|0.0565933|0.75221354|0.5708709|0.1801559|-0.531927|-0.37743545|0.730019|-0.25098723|-0.35009837|-0.1271804|-0.32999086|-0.02115807|-0.6806463|-0.56251776|-0.57026494|-0.107139915|-0.8335882|-0.6903217|0.064117774|-0.3396697|-0.6634011|-0.16433886|0.4045935|0.43695033|0.12061915|-0.3827187|-0.4107424|0.0862516|-0.12475981|-0.33516937|0.29608807|-0.5657344|0.3646092|-0.15157685|-0.3167193|0.6626893|0.5686649|-0.1270578|-0.17222017|0.5624415|0.21797666|-0.30682015|-0.0105289295|0.2895584|-0.29586968|0.53201073|0.10236204|0.43719083|-0.5461936|0.38519266|-0.61977696|-0.28822976|0.104332596|-0.05287206|0.059188053|0.23338255|-0.3187004|0.34046915|-0.15336359|0.0066753775|0.33311498|0.38323048|0.45033756|0.6408179|-0.26212245|0.023434937|-0.09716216|0.19971557|-0.53788626|-0.40596718|-0.33900592|0.76154953|0.34213084|-0.34905833
188;0.66662407|-0.59975123|0.40858293|0.5009566|-0.48579258|0.7593734|-0.18561696|1.1216806|0.171877|-0.48894864|0.85965586|-0.21784349|-0.2047235|0.021651208|0.23842832|-0.5983481|0.119166836|0.71279854|0.5405663|-0.029943734|0.45817327|0.612691|-0.7288176|0.33603895|-0.6755525|-0.5594315|-0.7090501|0.6513424|0.13780546|-0.1981613|-0.38041192|-0.12850654|0.0057618916|0.13526887|-0.1520004|0.6637393|-0.60803807|0.06637856|-0.12232214|0.22896558|-0.32246602|-0.3768165|-1.0369902|-0.023494124|-0.34254175|-0.74162495|0.10158986|-0.4760919|0.0063181818|0.010388583|-0.15832078|-0.38500088|-0.44899052|0.0450088|-0.387331|0.35025936|-0.69242907|-0.26022574|0.20218769|-0.9074706|-0.48883128|0.27278715|0.1405562|0.3999347|-0.36762255|0.42499816|-0.42230523|-0.30860016|-0.0074157994|-0.022215828|-0.532756|0.2619991|-0.99931914|-0.48507947|-1.1444714|-0.11379884|-0.17580262|-0.23006243|0.49626014|-0.34429297|0.054111354|-0.34311435|-0.0070590675|-0.47239903|-0.11433378|-0.4569936|0.54038197|0.2376124|0.13112313|0.61544037|-0.74712646|-0.16537851|-0.30163786|0.5252808|-0.06717873|-0.21206692|-0.12891021|0.05697888|0.4816407|-0.8326732
189;0.2569964|-0.38919905|0.24273384|-0.202144|-0.35835943|0.2513688|-0.33057192|0.79716456|-0.09698762|-0.5178578|1.0335059|-0.5548065|-0.084184974|-0.24499226|0.7852474|-0.8440418|0.1580847|0.18961023|1.0989542|-0.38863808|-0.56013495|0.10976715|-0.48777217|-0.08202335|-0.19349486|-0.0033153594|-0.013341233|0.9121453|0.5864632|-0.03723237|-0.6106604|-0.16484223|0.0043322444|-0.046072632|-0.43419346|0.47535938|-0.60128134|-0.6823473|-0.8216497|-0.2818231|-0.26212406|-0.50206023|-0.63649344|-0.5768863|-0.14523889|-0.9182257|-0.658849|-0.52958477|0.33125126|0.80368125|0.039097488|-0.7007288|0.22998995|0.1523151|-0.09488726|-0.21267769|-0.35257515|-0.25007278|0.12635961|-0.7621227|-0.35771227|0.46480548|0.1789401|0.005702449|-0.018653655|0.54956657|-0.36288142|-0.6127936|0.14130478|0.25270832|-0.16296275|0.5810965|-0.41994417|-0.17009628|-0.7320761|0.31451845|-0.009139806|-0.7841863|0.36464208|-0.19027846|0.24262662|-0.35084286|-0.22475219|0.55338657|-0.83659244|-0.20830765|0.16899864|-0.37584376|0.52680516|0.114656806|-0.9063594|0.01325506|-0.7274197|0.3232351|-0.48739538|0.1480301|-0.039028674|0.6731757|0.82301867|-0.6715397
190;0.57261944|-0.08297965|-0.1471223|0.19035602|0.111215085|0.6759559|-0.52835345|0.39612582|0.68141186|-0.03847623|0.46417737|-0.4053374|0.16806927|0.10294482|0.7268073|-0.39668518|-0.1270286|0.40051377|0.64291966|-0.8946128|-0.30204982|0.67765373|-0.0071377754|-0.1536088|-0.3276005|0.009750634|0.3759935|-0.062307835|-0.14665665|-1.0639257|-0.39858583|-0.15777513|0.4274671|0.30369326|-0.485132|0.70382345|-1.363099|0.09856912|0.018881798|-0.25114045|0.003858909|0.38269868|-0.9126867|-0.77876985|0.2871444|-0.3005315|-0.89124835|0.10130666|0.37966636|0.6063232|0.23503056|-0.12704866|-0.57410043|-0.2554536|-0.76064205|0.12296888|-0.78018284|-0.7755999|0.273712|-1.0018245|-0.45850337|-0.19529639|0.6033055|0.30153313|0.0027908776|0.10430408|-0.42019695|0.11385346|-0.8257477|0.03439635|-0.56314886|0.37148046|-0.16916126|0.4166794|-0.41124275|-0.05394323|-0.59666073|-0.11350107|0.62281716|-0.25043514|0.20117626|-0.016274612|-0.06517768|0.40876877|-0.6694462|-0.32724643|-0.10777894|-0.10234941|0.4113396|-0.1150603|-0.08160505|0.21125692|-0.8448318|0.5520487|0.10231763|-0.4163662|-0.40680146|0.94409657|0.6666508|-1.2979546
191;0.945341|-0.72417974|-0.06600231|0.35229772|-0.81104136|0.612546|-0.937556|0.03631717|-0.3390625|-0.0022576451|0.54386646|-0.61930597|0.3445557|0.3763807|0.5021423|-0.035208285|-0.1363357|-0.016892523|0.69884276|-0.7791083|-0.33641833|0.3920171|-0.9691398|-0.41091907|-0.1860433|-0.27114147|0.085160285|0.43823153|0.33019862|-0.07525021|-0.8471565|-0.3040456|0.41818565|0.38959467|-0.5979113|0.7508004|-0.29177165|-0.031128287|0.19531864|-0.33422416|0.26490963|-0.35510278|-0.39941108|-0.3556828|-0.38923362|-0.23187175|-0.3287092|0.52504814|0.21436888|0.18142974|0.5412543|-0.26305333|-0.4977484|-0.3580118|0.00093206763|0.64423454|-0.2802949|-0.41514266|-0.12811163|-0.52274877|0.62502956|0.15917552|0.6631391|-0.064805076|0.2906539|-0.2839867|-0.29949674|0.014339041|-0.79963815|-0.0073637962|-0.6077301|-0.008536115|-0.26513153|-0.45576733|-0.3170219|-0.015758023|-0.69575757|-0.35437566|0.15307793|-0.18110819|0.17086732|-0.4003956|0.29518834|0.014286914|-0.9468341|-0.54581463|0.025191814|-0.2370016|-0.19731459|0.40487203|-0.57797533|-0.29695985|-0.18744849|0.07366502|-0.50386983|-0.70574343|-0.0018619895|0.296351|0.0808918|-0.24942723
192;0.74239725|-0.08719307|0.54840446|0.30219603|-0.5220499|-0.23546344|-0.6758586|0.42097345|0.27720347|0.15044898|0.53154045|-0.546757|0.3375881|-0.0760304|1.0853211|-0.86612004|-0.18264973|0.36371127|0.18739736|-0.34527615|-0.30940527|-0.22070664|-0.40441352|-0.04351619|-0.44110882|-0.1282157|-0.10920058|1.1469126|0.103747845|-0.7719681|0.021991372|0.28000394|0.8149965|-0.40210497|-0.29914266|0.967738|-0.4607451|0.005918771|-0.5017375|-0.5863152|0.3193506|-0.8500093|-0.43453357|0.025645554|0.29712698|0.18164593|-0.49219513|-0.25155535|0.27111533|0.11296682|0.054433018|-0.07572934|-0.38936734|-0.19899885|-0.18828651|0.2292473|-0.30833492|-0.30071214|-0.025093488|-0.46410826|-0.58870125|0.45338404|0.5494484|-0.21700704|-0.098620065|0.39381725|-0.32949793|-0.22631541|0.02160114|0.15900493|-0.458071|0.28503966|-0.4201247|-0.2884015|-0.7475531|0.26069373|0.050694525|-0.29851747|1.0402848|-0.47632015|-0.055815794|-0.21339625|-0.4773218|0.090841204|0.22125813|0.1504795|0.43819028|0.2846|-0.17642486|0.41360548|-1.2500932|0.5802386|-0.7398927|-0.32410598|-0.5003756|-0.27652657|-0.67646277|0.5458372|0.3690524|-0.41107523
193;0.17419499|0.016892552|0.06726737|0.6249222|-0.7377201|-0.01498425|-0.8064424|1.0729815|0.21837094|-0.3409832|0.74459326|-0.054145634|-0.06984505|-0.8554337|0.21628597|-1.2864641|0.07100582|0.5273019|0.8630508|-0.5653074|0.27887028|0.5446429|-0.469329|-0.14388806|0.12193295|-0.23514105|0.3107394|0.590586|0.012994103|-0.758197|0.08218557|0.29204074|0.21472049|0.27173263|-0.5421084|0.26609337|-0.24269521|0.18102236|-0.053022295|-0.36436805|-0.24870476|-0.17372493|-0.3178111|0.22082376|0.21176824|-0.45788628|-0.59607375|-0.6896264|0.16992572|0.9419007|0.27363527|-0.37964433|-0.1565871|0.4142186|-0.54783905|-0.40671748|-0.43254435|-0.16971508|-0.34019578|-1.219972|-0.36827376|0.8390408|0.43058115|0.38262463|-0.12355385|0.55576694|-0.95621717|-0.78782356|0.7656876|-0.16923974|0.052195996|-0.14338608|-0.2260735|-0.30548948|-0.32461336|0.5676414|-0.32972196|-0.5941799|0.46817088|-0.108132444|-0.34859812|-0.4302569|-0.29564378|0.012289376|-0.29267454|-0.14948499|0.5743246|0.51586425|0.7754465|0.78971833|-0.13180423|0.04891245|-0.40662995|0.4081063|-0.11993558|-0.19977587|-0.008980587|0.9597422|-0.31907117|0.010678232
194;0.21077299|-0.2818021|0.36729616|-0.027246088|0.22055241|0.83642876|0.001649648|0.64667314|0.18223819|-0.42458963|0.5842315|0.02586779|0.29961538|-0.17330672|0.8933649|-0.45313776|-0.6138981|-0.099509776|0.40409443|-0.27894908|0.3732117|-0.42037612|-0.56979376|0.23456086|-0.030746847|-0.420397|0.11163959|0.012190878|-0.26444054|-0.96556664|-0.4783296|0.15692079|0.21375161|-0.2721208|-0.41035178|0.31833234|-0.852919|0.22116378|-0.43554753|-0.91305184|-0.5443191|-0.25266373|-0.116865784|-1.860992|0.78720754|-0.02571863|-0.6426492|-0.039163478|0.986955|-0.0035909563|-0.106746614|-0.53272027|-0.17200637|0.27794826|0.14019325|0.30925038|-0.6254014|-0.2843068|-0.057155587|-0.5776644|-0.067430064|-0.03461422|0.09109092|-0.25565436|0.33453342|0.2641196|-0.31908163|0.2488125|-0.026663762|1.0354961|-0.19128545|0.63851887|-0.06055221|0.34482893|-0.15303051|0.4710524|-0.64124453|-0.0904119|0.866997|-0.35910302|0.07280833|-0.7319521|-0.33904317|-0.13983446|-0.9932456|-0.28235564|0.996112|-0.06324437|-0.12206474|0.37674215|0.16492254|0.15718749|-0.29950964|0.51464224|-0.09110998|0.4140395|-0.6954194|0.9847042|-0.16787882|0.13287225
195;0.67259103|-0.52981937|-0.32183728|0.4718436|-0.77373976|0.99194986|-0.7908312|0.60699034|0.10519564|-0.71074545|0.44688982|-0.65676093|-0.16036737|-0.10848926|0.41144395|-0.5883955|0.0021122396|0.2759092|0.89323306|-0.07983482|0.44227472|0.16123071|-0.9484502|0.07250257|-0.03579481|-0.23831935|-0.2441515|0.9045086|-0.25497115|-0.17032698|0.74524546|0.052628443|0.7248796|0.007488508|-0.36394274|0.49477243|-0.7777883|-0.10942991|-0.93920904|-0.32690632|0.13723437|-0.30925292|-0.44549018|-1.0452902|-0.5744701|-0.5595792|-0.32805744|0.044023845|-0.048670977|0.72444946|0.32673913|0.064729184|-0.37028724|-0.27034575|0.17144659|-0.12719268|-0.72139454|-0.12597537|-0.03827002|-0.28493905|-0.41522297|0.049549647|0.4378004|0.17576307|0.17535296|0.03329429|-0.7247732|-0.27008584|0.33192182|1.0015241|-0.70531|0.31870002|-0.058103085|-0.18827924|-0.54484034|0.044747256|-0.47973552|-0.50378466|0.28681982|0.061207935|0.13412835|-0.4512424|-0.524666|-0.30526057|-0.26255122|-0.023773637|1.2505254|0.16818114|0.004596114|0.5798782|-0.38920432|0.33274463|-0.7863556|0.7341398|-0.6925607|-0.6158807|-0.4542325|0.4670226|0.83030957|-0.51725185
